url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,135,71
/PetervanLunteren/addaxai,50,2
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,49,16
/PetervanLunteren/AddaxAI/tree/main,42,17
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,37,27
/PetervanLunteren/AddaxAI/issues,34,10
/PetervanLunteren/AddaxAI/tree/main/install_files,25,10
/PetervanLunteren/AddaxAI/actions,25,2
/PetervanLunteren/AddaxAI/releases,24,13
/PetervanLunteren/AddaxAI/blob/main/.github/workflows/build-macos-release.yml,24,2
