time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-24 00:00:00+00:00,23,11,156,19
2025-02-25 00:00:00+00:00,3,3,62,17
2025-02-26 00:00:00+00:00,21,12,141,15
2025-02-27 00:00:00+00:00,15,8,79,23
2025-02-28 00:00:00+00:00,8,4,40,10
2025-03-01 00:00:00+00:00,16,9,31,7
2025-03-02 00:00:00+00:00,8,6,9,5
2025-03-03 00:00:00+00:00,33,12,160,20
2025-03-04 00:00:00+00:00,14,9,106,20
2025-03-05 00:00:00+00:00,11,8,56,15
2025-03-06 00:00:00+00:00,23,12,198,20
2025-03-07 00:00:00+00:00,13,8,45,17
2025-03-08 00:00:00+00:00,9,5,6,5
2025-03-09 00:00:00+00:00,8,7,66,18
